date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tyield
7/7/2023,30342.26563,13384770155,1870.602539,6468885150,4398.950195,3630480000,210.8745422,2771700,87.68360138,8311000,4.06
10/7/2023,30414.4707,14828209155,1880.556396,6336468234,4409.529785,3429600000,211.7933502,2080500,87.92887115,8827400,4.01
11/7/2023,30620.95117,12151839152,1878.33606,4905225892,4439.259766,3624220000,213.4568329,2155700,88.11963654,5978500,3.99
12/7/2023,30391.64648,14805659717,1872.11377,6379007000,4472.160156,3920290000,215.0912781,3030200,88.83722687,7189100,3.86
13/7/2023,31476.04883,23686079548,2006.511475,11114853969,4510.040039,3839530000,216.9095154,4113300,89.39131927,7458500,3.76
14/7/2023,30334.06836,20917902660,1939.347046,10627449471,4505.419922,3647450000,216.5903473,2914100,88.96440887,7208400,3.83
17/7/2023,30145.88867,13240156074,1911.646118,6678090758,4522.790039,3538240000,217.4124146,2688200,89.06430817,4689500,3.81
18/7/2023,29856.5625,13138897269,1897.599243,5814708445,4554.97998,4090010000,219.1435852,2916500,89.13697815,5593200,3.8
19/7/2023,29913.92383,12128602812,1889.007935,6018487800,4565.720215,4115670000,219.7141876,3106700,89.4094696,7467900,3.75
20/7/2023,29792.01563,14655207121,1890.969116,7366830684,4534.870117,3761770000,218.1281128,2651700,88.94622803,12562400,3.85
21/7/2023,29908.74414,10972789818,1892.080078,4668158260,4536.339844,3570190000,218.1087646,2296800,89.00982666,7605200,3.84
24/7/2023,29176.91602,15395817395,1850.002075,6344373569,4554.640137,3856250000,218.8824463,2291700,88.84629059,6656600,3.86
25/7/2023,29227.39063,10266772793,1857.741943,4163381707,4567.459961,3812470000,219.4337463,2084400,88.7463913,5794800,3.91
26/7/2023,29354.97266,13497554655,1872.159912,5781548155,4566.75,3990290000,219.5981445,1985600,89.03704834,5907400,3.86
27/7/2023,29210.68945,10770779217,1860.357178,4291339248,4537.410156,4553210000,217.9056549,4730600,88.27403259,6937900,4.01
28/7/2023,29319.24609,11218474952,1874.744873,3800973336,4582.22998,3981010000,220.178421,2257600,88.61920929,9233600,3.96
31/7/2023,29230.11133,11656781982,1856.162354,4391613314,4588.959961,4503600000,220.8457489,2658500,88.72819519,11079100,3.97
1/8/2023,29675.73242,18272392391,1871.792114,7634860636,4576.72998,4042370000,220.246109,2809500,88.14072418,8810400,4.05
2/8/2023,29151.95898,19212655598,1839.089722,6448512422,4513.390137,4270710000,217.1222534,4239000,87.93125153,8551900,4.08
3/8/2023,29178.67969,12780357746,1835.136475,4710581074,4501.890137,4149120000,216.4936371,2925200,87.33920288,7532700,4.2
4/8/2023,29074.0918,12036639988,1827.712891,4861242484,4478.029785,4143310000,215.5748444,3024600,88.05873108,6400400,4.05
7/8/2023,29180.57813,13618163710,1826.938843,5837881974,4518.439941,3493920000,217.228653,2376600,88.07693481,9732600,4.09
8/8/2023,29765.49219,17570561357,1855.807373,5812855406,4499.379883,3884910000,216.2228546,2796400,88.28646088,6867300,4.02
9/8/2023,29561.49414,18379521213,1854.297607,5870081833,4467.709961,3803100000,214.675415,2203400,88.35021973,5634700,4
10/8/2023,29429.5918,11865344789,1850.753418,3760304518,4468.830078,4504370000,214.7141113,3033300,87.77640533,15516100,4.09
11/8/2023,29397.71484,10195168197,1847.12439,3353025102,4464.049805,3753290000,214.5109863,2220400,87.50314331,9016700,4.16
14/8/2023,29408.44336,14013695304,1844.185791,4083364724,4489.720215,3896410000,215.5748444,2435100,87.43941498,7901300,4.19
15/8/2023,29170.34766,12640195779,1826.932739,4483923893,4437.859863,3832250000,213.128006,2997300,87.20257568,6522500,4.21
16/8/2023,28701.7793,14949271904,1805.659058,4976573383,4404.330078,3753910000,211.3678284,2933500,86.99308777,8964600,4.28
17/8/2023,26664.55078,31120851211,1684.933472,14208462072,4370.359863,3943700000,209.6366425,3135900,86.90200043,8162300,4.3
18/8/2023,26049.55664,24026236529,1660.945068,9645084584,4369.709961,3940400000,209.8783875,2933300,87.09329987,6154600,4.26
21/8/2023,26124.14063,13371557893,1667.269043,5077248383,4399.77002,3726850000,211.087326,2755400,86.65608215,13362300,4.34
22/8/2023,26031.65625,14503820706,1633.892578,7244623133,4387.549805,3522760000,210.526413,2891900,86.74718475,6156200,4.34
23/8/2023,26431.64063,16985265785,1679.274414,7191868448,4436.009766,3837270000,212.8282013,2560200,87.57602692,7831600,4.19
